stu_id,course_id,score
1,1,83
1,2,94
1,5,94
1,6,72
2,1,90
2,2,68
2,5,68
2,6,79
3,1,97
3,2,75
3,5,75
3,6,86
4,1,71
4,2,82
4,5,82
4,6,93
5,1,78
5,2,89
5,4,78
5,5,89
5,6,67
6,1,85
6,2,96
6,5,96
6,6,74
7,1,92
7,2,70
7,5,70
7,6,81
8,1,66
8,2,77
8,5,77
8,6,88
9,1,73
9,2,84
9,5,84
9,6,95
10,1,80
10,2,91
10,4,80
10,5,91
10,6,69
11,1,87
11,2,65
11,5,65
11,6,76
12,1,94
12,2,72
12,5,72
12,6,83
13,1,68
13,2,79
13,5,79
13,6,90
14,1,75
14,2,86
14,5,86
14,6,97
15,1,82
15,2,93
15,4,82
15,5,93
15,6,71
16,1,89
16,2,67
16,5,67
16,6,78
17,1,96
17,2,74
17,5,74
17,6,85
18,1,70
18,2,81
18,5,81
18,6,92
19,1,77
19,2,88
19,5,88
19,6,66
20,1,84
20,2,95
20,4,84
20,5,95
20,6,73
21,1,91
21,2,69
21,5,69
21,6,80
22,1,65
22,2,76
22,5,76
22,6,87
23,1,72
23,2,83
23,5,83
23,6,94
24,1,79
24,2,90
24,5,90
24,6,68
25,1,86
25,2,97
25,4,86
25,5,97
25,6,75
26,1,93
26,2,71
26,5,71
26,6,82
27,1,67
27,2,78
27,5,78
27,6,89
28,1,74
28,2,85
28,5,85
28,6,96
29,1,81
29,2,92
29,5,92
29,6,70
30,1,88
30,2,66
30,4,88
30,5,66
30,6,77
31,1,95
31,2,73
31,5,73
31,6,84
32,1,69
32,2,80
32,5,80
32,6,91
33,1,76
33,2,87
33,5,87
33,6,65
34,1,83
34,2,94
34,5,94
34,6,72
35,1,90
35,2,68
35,4,90
35,5,68
35,6,79
36,1,97
36,2,75
36,5,75
36,6,86
37,1,71
37,2,82
37,5,82
37,6,93
38,1,78
38,2,89
38,5,89
38,6,67
39,1,85
39,2,96
39,5,96
39,6,74
40,1,92
40,2,70
40,4,92
40,5,70
40,6,81
41,1,66
41,2,77
41,5,77
41,6,88
42,1,73
42,2,84
42,5,84
42,6,95
43,1,80
43,2,91
43,5,91
43,6,69
44,1,87
44,2,65
44,5,65
44,6,76
45,1,94
45,2,72
45,4,94
45,5,72
45,6,83
46,1,68
46,2,79
46,5,79
46,6,90
47,1,75
47,2,86
47,5,86
47,6,97
48,1,82
48,2,93
48,5,93
48,6,71
49,1,89
49,2,67
49,5,67
49,6,78
50,1,96
50,2,74
50,4,96
50,5,74
50,6,85
51,1,70
51,3,92
51,5,81
51,6,92
52,1,77
52,3,66
52,5,88
52,6,66
53,1,84
53,3,73
53,5,95
53,6,73
54,1,91
54,3,80
54,5,69
54,6,80
55,1,65
55,3,87
55,4,65
55,5,76
55,6,87
56,1,72
56,3,94
56,5,83
56,6,94
57,1,79
57,3,68
57,5,90
57,6,68
58,1,86
58,3,75
58,5,97
58,6,75
59,1,93
59,3,82
59,5,71
59,6,82
60,1,67
60,3,89
60,4,67
60,5,78
60,6,89
61,1,74
61,3,96
61,5,85
61,6,96
62,1,81
62,3,70
62,5,92
62,6,70
63,1,88
63,3,77
63,5,66
63,6,77
64,1,95
64,3,84
64,5,73
64,6,84
65,1,69
65,3,91
65,4,69
65,5,80
65,6,91
66,1,76
66,3,65
66,5,87
66,6,65
67,1,83
67,3,72
67,5,94
67,6,72
68,1,90
68,3,79
68,5,68
68,6,79
69,1,97
69,3,86
69,5,75
69,6,86
70,1,71
70,3,93
70,4,71
70,5,82
70,6,93
71,1,78
71,3,67
71,5,89
71,6,67
72,1,85
72,3,74
72,5,96
72,6,74
73,1,92
73,3,81
73,5,70
73,6,81
74,1,66
74,3,88
74,5,77
74,6,88
75,1,73
75,3,95
75,4,73
75,5,84
75,6,95
76,1,80
76,3,69
76,5,91
76,6,69
77,1,87
77,3,76
77,5,65
77,6,76
78,1,94
78,3,83
78,5,72
78,6,83
79,1,68
79,3,90
79,5,79
79,6,90
80,1,75
80,3,97
80,4,75
80,5,86
80,6,97
81,1,82
81,3,71
81,5,93
81,6,71
82,1,89
82,3,78
82,5,67
82,6,78
83,1,96
83,3,85
83,5,74
83,6,85
84,1,70
84,3,92
84,5,81
84,6,92
85,1,77
85,3,66
85,4,77
85,5,88
85,6,66
86,1,84
86,3,73
86,5,95
86,6,73
87,1,91
87,3,80
87,5,69
87,6,80
88,1,65
88,3,87
88,5,76
88,6,87
89,1,72
89,3,94
89,5,83
89,6,94
90,1,79
90,3,68
90,4,79
90,5,90
90,6,68
91,1,86
91,3,75
91,5,97
91,6,75
92,1,93
92,3,82
92,5,71
92,6,82
93,1,67
93,3,89
93,5,78
93,6,89
94,1,74
94,3,96
94,5,85
94,6,96
95,1,81
95,3,70
95,4,81
95,5,92
95,6,70
96,1,88
96,3,77
96,5,66
96,6,77
97,1,95
97,3,84
97,5,73
97,6,84
98,1,69
98,3,91
98,5,80
